Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"ETHERNET_CS","OffPage","ETHERNET","8","SCHEMATIC1","R70.1,U14.32","118","12","5D","P[2,8]"
"ETHERNET_CS","OffPage","ETHERNET","8","SCHEMATIC1","R70.1,U14.32","130","76","5D","P[2,8]"
"SPI2_NSS","OffPage","ETHERNET","8","SCHEMATIC1","R70.1,U14.32","142","12","5D","P[2]"
"SPI2_NSS","OffPage","OFFPAGE","3","SCHEMATIC1","","602","262","2C","P[2,8]"
"PB12","OffPage","MCU","2","SCHEMATIC1","U34.33","112","378","5B","P[8]"
"PB12","OffPage","OFFPAGE","3","SCHEMATIC1","","582","262","2C","P[2,8]"
"PC14","OffPage","MCU","2","SCHEMATIC1","C164.2,U34.3,Y8.1","112","558","5A","P[2]"
"PC14","OffPage","MCU","2","SCHEMATIC1","C164.2,U34.3,Y8.1","774","204","1C","P[2]"
"PC15","OffPage","MCU","2","SCHEMATIC1","C163.2,U34.4,Y8.2","112","568","5A","P[2]"
"PC15","OffPage","MCU","2","SCHEMATIC1","C163.2,U34.4,Y8.2","862","204","1C","P[2]"
"PH0","OffPage","MCU","2","SCHEMATIC1","C161.2,U34.5,Y7.1","774","164","1D","P[2]"
"PH0","OffPage","MCU","2","SCHEMATIC1","C161.2,U34.5,Y7.1","112","578","5A","P[2]"
"PH1","OffPage","MCU","2","SCHEMATIC1","C162.2,U34.6,Y7.2","112","588","5A","P[2]"
"PH1","OffPage","MCU","2","SCHEMATIC1","C162.2,U34.6,Y7.2","864","164","1D","P[2]"
"BEEP","OffPage","TERMINAL","12","SCHEMATIC1","J29.10","392","474","3B","P[2]"
"BEEP","OffPage","OFFPAGE","3","SCHEMATIC1","","600","484","2B","P[2,12]"
"PA8","OffPage","MCU","2","SCHEMATIC1","U34.41","112","178","5C","P[12]"
"PA8","OffPage","OFFPAGE","3","SCHEMATIC1","","580","484","2B","P[2,12]"
"USART1_TX","OffPage","TERMINAL","12","SCHEMATIC1","J62.4","762","158","2D","P[2]"
"USART1_TX","OffPage","OFFPAGE","3","SCHEMATIC1","","234","406","4B","P[2,12]"
"PA9","OffPage","MCU","2","SCHEMATIC1","U34.42","112","188","5C","P[12]"
